id,title,title_he,description,description_he,image_url,start_date,end_date,price,single_supplement_price,max_capacity,spots_left,status,difficulty_level,country_id,guide_id,trip_type_id
1,Discover Bosnia and Herzegovina,בוסניה והרצגובינה – מסע חלומות,Explore the wonders of Bosnia and Herzegovina. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-09-04,2026-09-13,7420.00,1216.61,25,17,Open,2,114,21,1
2,Discover Scotland,סקוטלנד: טבע ותרבות,Explore the wonders of Scotland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-06-07,2027-06-16,12430.00,2477.94,30,1,Last Places,1,47,8,1
3,Discover Romania,אוצרות רומניה,Explore the wonders of Romania. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-07-29,2026-08-15,14200.00,3544.49,24,8,Open,1,77,3,1
4,Discover Azerbaijan,אזרבייג'ן – מסע חלומות,Explore the wonders of Azerbaijan. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-02-10,2027-03-07,8960.00,1443.95,20,5,Last Places,1,97,9,1
5,Discover Slovenia,סלובניה המרתקת,Explore the wonders of Slovenia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-04-03,2027-04-28,8110.00,1899.09,24,19,Guaranteed,1,65,4,1
6,Discover Italy,גלה את איטליה,Explore the wonders of Italy. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-01-22,2026-01-30,9430.00,2243.13,30,25,Open,2,42,16,1
7,Discover Mont Blanc,אוצרות מון בלאן,Explore the wonders of Mont Blanc. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-02-25,2026-03-25,11950.00,2767.65,30,17,Guaranteed,1,122,3,1
8,Discover Armenia,הרפתקה בארמניה,Explore the wonders of Armenia. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-08-17,2026-08-28,13040.00,2940.87,25,6,Open,2,112,20,1
9,Discover Latvia,גלה את לטביה,Explore the wonders of Latvia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-19,2026-05-31,3310.00,608.41,24,17,Guaranteed,3,58,4,1
10,Discover Ethiopia,גלה את אתיופיה,Explore the wonders of Ethiopia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2027-04-21,2027-04-27,8760.00,1376.07,15,8,Open,2,30,3,1
